municipio,recebidos,por_vacinados,por_doses_extras,por_perda_tecnica,em_estoque,aproveitamento,valor_medio_recebido_R$,valor_medio_vacinados_R$,valor_medio_extra_R$,valor_medio_perda_R$,valor_medio_estoque_R$,aproveitamento_R$,meta
1,117708,107021,2365,3030,10022,82,1765620,1605315,35475,45450,150330,-320610,1
2,40219,34785,291,5111,614,73,603285,521775,4365,76665,9210,-163020,1
3,38513,34449,488,3570,982,79,577695,516735,7320,53550,14730,-121920,1
4,96803,91999,1841,3873,2772,90,1452045,1379985,27615,58095,41580,-144120,1
5,50791,44663,257,5295,1090,76,761865,669945,3855,79425,16350,-183840,1
6,30726,23042,596,1476,6804,50,460890,345630,8940,22140,102060,-230520,0
7,113736,100285,923,6784,7590,76,1706040,1504275,13845,101760,113850,-403530,1
8,22980,20381,229,2468,360,77,344700,305715,3435,37020,5400,-77970,1
9,388017,320859,3943,37770,33331,65,5820255,4812885,59145,566550,499965,-2014740,0
10,36213,29741,207,4858,1821,64,543195,446115,3105,72870,27315,-194160,0
11,94707,87237,1211,4,8677,84,1420605,1308555,18165,60,130155,-224100,1
12,122270,113219,756,2536,7271,85,1834050,1698285,11340,38040,109065,-271530,1
13,48539,46060,261,1351,1389,90,728085,690900,3915,20265,20835,-74370,1
14,34090,28434,442,2662,3436,67,511350,426510,6630,39930,51540,-169680,0
15,45928,38712,689,30,7875,69,688920,580680,10335,450,118125,-216480,0
16,634454,544779,6154,56359,39470,72,9516810,8171685,92310,845385,592050,-2690250,1
17,1232165,1047169,12630,94741,102885,70,18482475,15707535,189450,1421115,1543275,-5549880,0
18,117752,112107,979,6418,206,90,1766280,1681605,14685,96270,3090,-169350,1
19,458510,327818,2840,15014,118518,43,6877650,4917270,42600,225210,1777770,-3920760,0
20,99465,81701,1762,12808,6718,64,1491975,1225515,26430,192120,100770,-532920,0
21,42798,34433,282,0,8647,61,641970,516495,4230,0,129705,-250950,0
22,18869,15958,85,1796,1200,69,283035,239370,1275,26940,18000,-87330,0
23,141557,117033,1142,12881,12785,65,2123355,1755495,17130,193215,191775,-735720,0
24,24974,20551,287,3405,1305,65,374610,308265,4305,51075,19575,-132690,0
25,68118,64791,441,1602,2166,90,1021770,971865,6615,24030,32490,-99810,1
26,72583,59481,385,5497,7990,64,1088745,892215,5775,82455,119850,-393060,0
27,46191,37076,108,6295,2928,61,692865,556140,1620,94425,43920,-273450,0
28,91255,78250,637,815,12827,71,1368825,1173750,9555,12225,192405,-390150,1
29,390479,320903,3508,38135,34949,64,5857185,4813545,52620,572025,524235,-2087280,0
30,82850,77903,468,1949,3466,88,1242750,1168545,7020,29235,51990,-148410,1
31,46599,37504,157,7229,2023,61,698985,562560,2355,108435,30345,-272850,0
32,29136,25056,80,2250,1910,72,437040,375840,1200,33750,28650,-122400,1
33,47380,41982,964,3104,3258,77,710700,629730,14460,46560,48870,-161940,1
34,59567,41299,180,2081,16367,39,893505,619485,2700,31215,245505,-548040,0
35,46179,42899,324,1574,2030,86,692685,643485,4860,23610,30450,-98400,1
36,115700,98782,1578,9436,9060,71,1735500,1481730,23670,141540,135900,-507540,1
37,37097,33768,519,3387,461,82,556455,506520,7785,50805,6915,-99870,1
38,89247,80146,1497,8103,2495,80,1338705,1202190,22455,121545,37425,-273030,1
39,99397,91856,717,7195,1063,85,1490955,1377840,10755,107925,15945,-226230,1
40,39295,34690,421,3430,1596,77,589425,520350,6315,51450,23940,-138150,1
41,59102,49056,433,3486,6993,66,886530,735840,6495,52290,104895,-301380,0
42,42744,35848,322,3558,3660,68,641160,537720,4830,53370,54900,-206880,0
43,533271,438172,1774,28390,68483,64,7999065,6572580,26610,425850,1027245,-2852970,0
44,46867,36516,220,4972,5599,56,703005,547740,3300,74580,83985,-310530,0
45,141891,116359,1021,12712,13841,64,2128365,1745385,15315,190680,207615,-765960,0
46,68459,56393,272,8758,3580,65,1026885,845895,4080,131370,53700,-361980,0
47,42428,39238,892,2220,1862,85,636420,588570,13380,33300,27930,-95700,1
48,84369,60545,132,0,23956,44,1265535,908175,1980,0,359340,-714720,0
49,67934,59074,568,3587,5841,74,1019010,886110,8520,53805,87615,-265800,1
50,20416,17905,86,1808,789,75,306240,268575,1290,27120,11835,-75330,1
51,61182,59102,358,2451,-13,93,917730,886530,5370,36765,-195,-62400,1
52,47795,44633,250,245,3167,87,716925,669495,3750,3675,47505,-94860,1
53,154912,136088,1051,7686,12189,76,2323680,2041320,15765,115290,182835,-564720,1
54,84404,58968,1031,5729,20738,40,1266060,884520,15465,85935,311070,-763080,0
55,74934,63761,660,6198,5635,70,1124010,956415,9900,92970,84525,-335190,1
56,77127,63935,445,6646,6991,66,1156905,959025,6675,99690,104865,-395760,0
57,72670,60910,512,6607,5665,68,1090050,913650,7680,99105,84975,-352800,0
58,25406,22058,397,1960,1785,74,381090,330870,5955,29400,26775,-100440,1
59,41556,40002,686,2162,78,93,623340,600030,10290,32430,1170,-46620,1
60,80140,70678,234,4624,5072,76,1202100,1060170,3510,69360,76080,-283860,1
61,41275,33957,255,700,6873,65,619125,509355,3825,10500,103095,-219540,0
62,52927,42250,376,4482,6571,60,793905,633750,5640,67230,98565,-320310,0
63,144060,117033,3475,12608,17894,62,2160900,1755495,52125,189120,268410,-810810,0
64,90390,79232,536,6321,5373,75,1355850,1188480,8040,94815,80595,-334740,1
65,29222,27149,344,1243,1174,86,438330,407235,5160,18645,17610,-62190,1
66,100398,82940,2279,16393,3344,65,1505970,1244100,34185,245895,50160,-523740,0
67,35097,29973,70,4027,1167,71,526455,449595,1050,60405,17505,-153720,1
68,392145,348814,2774,18299,27806,78,5882175,5232210,41610,274485,417090,-1299930,1
69,39618,34065,179,4734,998,72,594270,510975,2685,71010,14970,-166590,1
70,1505625,1372998,12538,69040,76125,82,22584375,20594970,188070,1035600,1141875,-3978810,1
71,89931,79987,849,6583,4210,78,1348965,1199805,12735,98745,63150,-298320,1
72,75993,63545,146,683,11911,67,1139895,953175,2190,10245,178665,-373440,0
73,88485,80689,291,9046,-959,82,1327275,1210335,4365,135690,-14385,-233880,1
74,289016,212525,868,18297,59062,47,4335240,3187875,13020,274455,885930,-2294730,0
75,31639,28617,231,1773,1480,81,474585,429255,3465,26595,22200,-90660,1
76,52070,44414,66,5760,1962,71,781050,666210,990,86400,29430,-229680,1
77,1692439,1257971,21492,72808,383152,49,25386585,18869565,322380,1092120,5747280,-13034040,0
78,1563725,1243056,15809,91234,245244,59,23455875,18645840,237135,1368510,3678660,-9620070,0
